Année,Région,Culture,Rendement_qha,Surface_ha,Production_tonnes,Temp_moyenne_C,Temp_min_C,Temp_max_C,Precip_totales_mm,Precip_moyennes_mm,Nb_mois
2018,Nouvelle-Aquitaine,Maïs,92.4,396528.0,36649643.0,18.98,13.72,22.68,372.19,62.03,6
2018,Nouvelle-Aquitaine,Tournesol,22.0,194545.0,4282305.0,18.87,13.72,22.68,353.29,70.66,5
2018,Occitanie,Blé,45.7,267965.0,12241455.0,9.98,3.05,19.05,901.93,100.21,9
2018,Occitanie,Maïs,92.6,122170.0,11307350.0,18.1,12.44,22.04,510.55,85.09,6
2018,Occitanie,Tournesol,20.8,188760.0,3920465.0,17.93,12.44,22.04,480.25,96.05,5
2019,Grand Est,Blé,77.5,711968.0,55168478.0,8.59,1.25,19.59,676.3,75.14,9
2019,Grand Est,Maïs,95.8,171135.0,16391055.0,16.09,9.69,20.77,381.86,63.64,6
2019,Grand Est,Tournesol,22.5,30575.0,687200.0,16.26,9.69,20.77,329.66,65.93,5
2019,Nouvelle-Aquitaine,Blé,74.2,517315.0,38385165.0,11.69,5.71,19.31,645.84,71.76,9
2019,Nouvelle-Aquitaine,Maïs,94.2,419357.0,39490706.0,18.16,12.13,22.91,348.32,58.05,6
2019,Nouvelle-Aquitaine,Tournesol,22.4,199785.0,4481670.0,17.99,12.13,22.91,305.72,61.14,5
2019,Occitanie,Blé,61.2,286635.0,17543770.0,10.29,3.68,18.98,714.35,79.37,9
2019,Occitanie,Maïs,97.9,134103.0,13127945.0,17.37,10.41,22.58,431.74,71.96,6
2019,Occitanie,Tournesol,20.6,177550.0,3664275.0,17.24,10.41,22.58,371.74,74.35,5
